--------------------------Creature Joints----------------------------
-26653.38704347 147.01687909
-26605.55241392 198.13290608
-26617.31769899 109.50684859
-26570.25674452 164.14444154
-26690.57843362 95.15955474
-26742.18939959 50.16671359
-26516.65714910 112.53029353
-26468.52475986 57.31851561
-26773.67562581 85.57320266
-26722.82331323 7.68200445
-26801.39258276 60.55781427
-26762.39586951 0.00000000
-26501.30402989 23.63523201
-26432.06720503 80.44373666
-26471.28092661 0.00000000
-26411.78869724 45.36127399
--------------------------Creature States----------------------------
-1 -1 -1 -1 1 0 0 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 
---------------------------------------------------------------------
