--------------------------Creature Joints----------------------------
219.96055029 187.63269050
299.56024095 195.62576544
220.68063552 130.41834372
301.77488950 133.53635143
241.85046522 189.83078611
280.65531442 193.72741014
241.33848334 224.95539108
278.05342683 229.64718437
170.20156176 68.66972411
345.26386318 73.09042087
183.21973108 0.00000000
394.07055304 16.41685542
159.51011892 151.69103288
151.71993331 103.93874257
349.87060332 161.34993495
365.77078317 119.34740149
--------------------------Creature States----------------------------
-1 -1 -1 7 -1 -1 -1 5 -1 9 3 -1 -1 -1 -1 5 8 3 6 
---------------------------------------------------------------------
